id,date,content,query_term,job_title,clean_text,sentiment
1323800413355741184,2020-11-04 01:33:08+00:00,"Free Coupon Discount - Machine Learning No-Code Approach: Using Azure ML Studio
Link -&gt; https://t.co/6U1k1inU1Z

#udemy #coupons #DataScience #Python #MachineLearning #DeepLearning #DataAnalysis
#ArtificialIntelligence #R #TensorFlow #NaturalLanguage #PyTorch #100DaysOfCode https://t.co/1nRIG1mnZQ",artificialintelligence,dataanalysis,"free coupon discount  machine learning nocode approach using azure ml studio
link gt 

udemy coupons datascience python machinelearning deeplearning dataanalysis
artificialintelligence r tensorflow naturallanguage pytorch daysofcode",0.6597
1641774473115254784,2023-03-31 12:08:31+00:00,"Italy orders ChatGPT blocked citing data protection concerns - https://t.co/R6oK5CtP8b - thanks @RichardEudes #DataScience #DS,#BigData,#Compliance,#DataGovernance,#DataPrivacy,#GDPR,#MachineLearning,#ArtificialIntelligence,#DataScience,#Analytics #DataScience",artificialintelligence,datascience,italy orders chatgpt blocked citing data protection concerns    thanks  datascience dsbigdatacompliancedatagovernancedataprivacygdprmachinelearningartificialintelligencedatascienceanalytics datascience,0.2023
1632279626826252288,2023-03-05 07:19:23+00:00,"ChatGPT: Exploring the Power of OpenAI’s Language Model https://t.co/d5ywof12mN #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/SmZGLPdVEM",chatgpt,datascience,"chatgpt exploring the power of openais language model  ai machinelearning datascience artificialintelligence

trending aiml article identified amp digested via granola a machinedriven rss bot by ramsey elbasheer",0.0
1488526444112273410,2022-02-01 14:55:34+00:00,"When your LT wants to pour $$$ into AI strategy development and they overlook the core data platform and data driven culture needed as a foundation...

#datastrategy #dataengineering #datalake https://t.co/hLjnMvl96K",AI,dataengineering,"when your lt wants to pour  into ai strategy development and they overlook the core data platform and data driven culture needed as a foundation

datastrategy dataengineering datalake",0.0
1517410418964193280,2022-04-22 07:50:10+00:00,"Check this article: GPT-3: The Best AI Tool for Marketing Copy Generation in 2022,
        https://t.co/mJ1JqxULJW #AI #DataScience #ArtificialIntelligence #bigdata.",GPT-3,datascience,"check this article gpt the best ai tool for marketing copy generation in 
         ai datascience artificialintelligence bigdata",0.6369
1640568622249660417,2023-03-28 04:16:54+00:00,"To spy on your Girlfriend or Boyfriend account Dm now
#ArtificialIntelligence #AI #ML #DataScience #DataScientists #CodeNewbies #Tech #deeplearning #CyberSecurity #Python #Coding  #javascript #rstats #100DaysOfCode #programming #Linux #IoT #IIoT #BigData #snapchatdown https://t.co/Nhgq89WMUL",artificialintelligence,datascience,"to spy on your girlfriend or boyfriend account dm now
artificialintelligence ai ml datascience datascientists codenewbies tech deeplearning cybersecurity python coding  javascript rstats daysofcode programming linux iot iiot bigdata snapchatdown",0.0
1547127178189590529,2022-07-13 07:53:58+00:00,"""Data Engineering is key to a successful DS or an AI Career"" – Durga Gadiraju, Founder ITVersity Inc &amp; Co-Founder, CTO of Analytics.
 #1729AI  #artificialintelligence #machinelearning #event #careerdevelopment #upskilling #aiforgood #dataengineering  https://t.co/AnVqe2gDnS",AI,dataengineering,"data engineering is key to a successful ds or an ai career  durga gadiraju founder itversity inc amp cofounder cto of analytics
 ai  artificialintelligence machinelearning event careerdevelopment upskilling aiforgood dataengineering",0.5859
1643636837783678977,2023-04-05 15:28:54+00:00,"BEST #DeepLearning Course on Udemy 

Deep Learning: Convolutional Neural Networks in Python 

👉 https://t.co/B4xdBoAb0w 

#Python #DataScience #Programming #NeuralNetworks #AI #MachineLearning #IoT #PyTorch #RStats #Java #JavaScript #React #CloudComputing #Serverless #Linux",AI,datascience,"best deeplearning course on udemy 

deep learning convolutional neural networks in python 

  

python datascience programming neuralnetworks ai machinelearning iot pytorch rstats java javascript react cloudcomputing serverless linux",0.6369
1636089629831995392,2023-03-15 19:38:59+00:00,"A data science and AI foundation needs to be built up properly before diving in head-first. By knowing these core skills, like math and AI literacy, you'll start off your career on a high note. #DataScience #AI #ArtificialIntelligence https://t.co/1F77TBC898",artificialintelligence,datascience,a data science and ai foundation needs to be built up properly before diving in headfirst by knowing these core skills like math and ai literacy youll start off your career on a high note datascience ai artificialintelligence,0.4215
1641491906361212928,2023-03-30 17:25:42+00:00,"My recent podcast with @Mindbreeze :
https://t.co/Q4KhzWRypf &gt;&gt; Generative #AI: Where Does it Fit into an Enterprise?
———
#GenerativeAI #ChatGPT #BigData #DataScience #MachineLearning #DeepLearning #NLProc #ArtificialIntelligence #NLU #NLG #GPT3 #GPT4 #DigitalTransformation https://t.co/00qdvr76Ad",chatgpt,datascience,"my recent podcast with  
 gtgt generative ai where does it fit into an enterprise

generativeai chatgpt bigdata datascience machinelearning deeplearning nlproc artificialintelligence nlu nlg gpt gpt digitaltransformation",0.3612
1324357047861813248,2020-11-05 14:25:00+00:00,"Udemy Free Discount - Machine Learning, Data Science and Deep Learning with Python #udemycoupon -&gt; https://t.co/lKlGfmirNW

#DataScience #MachineLearning #Python #DataAnalysis #DeepLearning #SQL #ArtificialIntelligence #Microsoft #PowerBI #Tableau #BigData #hadoop #100DaysOfCode",artificialintelligence,dataanalysis,"udemy free discount  machine learning data science and deep learning with python udemycoupon gt 

datascience machinelearning python dataanalysis deeplearning sql artificialintelligence microsoft powerbi tableau bigdata hadoop daysofcode",0.6597
1584842271995809792,2022-10-25 09:40:17+00:00,"How can we make working with #data easy for data experts?
💻We deliver a #platform that optimizes the work routine of data experts, from data prep to stats and ML.
🚀Discover Rulex Platform → https://t.co/mbbKzDgC6z
#DataPrep #DataExpert #DataScience #DataAnalysis https://t.co/e4RR7bF0Ce",AI,dataanalysis,"how can we make working with data easy for data experts
we deliver a platform that optimizes the work routine of data experts from data prep to stats and ml
discover rulex platform  
dataprep dataexpert datascience dataanalysis",0.6908
1642625969004453889,2023-04-02 20:32:04+00:00,"KACE is looking for a Software Developer
https://t.co/WXgBBCtVRo Vienna, VA, United States
( Python  Cloud  Azure  AWS  ML  AI  Javascript ) 
#jobsearch #AI",AI,datascience,"kace is looking for a software developer
 vienna va united states
 python  cloud  azure  aws  ml  ai  javascript  
jobsearch ai",0.4215
1636659771825692676,2023-03-17 09:24:31+00:00,"The AI Apocalypse: Are We Doomed? https://t.co/zRa9cRpPsb #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/60gNI2V8yc",artificialintelligence,datascience,"the ai apocalypse are we doomed  ai machinelearning datascience artificialintelligence

trending aiml article identified amp digested via granola a machinedriven rss bot by ramsey elbasheer",-0.6369
1642537307411554305,2023-04-02 14:39:45+00:00,"Interpreting the Science of Masking https://t.co/4ZoQacLbA5 #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/vDiXLidmzT",artificialintelligence,datascience,"interpreting the science of masking  ai machinelearning datascience artificialintelligence

trending aiml article identified amp digested via granola a machinedriven rss bot by ramsey elbasheer",0.0
1459223453014413315,2021-11-12 18:15:56+00:00,The Complete Pandas Bootcamp 2021: Data Science with Python #DataAnalysis #DataScience #MachineLearning https://t.co/JLPoRfzAah,AI,dataanalysis,the complete pandas bootcamp  data science with python dataanalysis datascience machinelearning,0.0
1422055977390682114,2021-08-02 04:45:40+00:00,How to Leverage Artificial Intelligence in Public Relations #ArtificialIntelligence #DataAnalysis https://t.co/3woDbqgVBj,AI,dataanalysis,how to leverage artificial intelligence in public relations artificialintelligence dataanalysis,0.4767
1236242273106567169,2020-03-07 10:48:20+00:00,via @RichardEudes - Growing Importance of Automation and Robotics in Manufacturing &amp; Supply Chains  https://t.co/IUDuTG8zsz  #analytics #artificialintelligence #bi #bigdata #dataengineering #datagovernance #dataquality #datascience #machinelearning #supp… https://t.co/Tkste6SX7v,artificialintelligence,dataengineering,via   growing importance of automation and robotics in manufacturing amp supply chains    analytics artificialintelligence bi bigdata dataengineering datagovernance dataquality datascience machinelearning supp,0.4939
1640844214811459584,2023-03-28 22:32:00+00:00,"Co-op Solutions is looking for a Manager, Data Science - REMOTE
https://t.co/NnU44PEob0 GA, United States
( Python  Cloud  ML  AI ) 
#jobsearch #ML",AI,datascience,"coop solutions is looking for a manager data science  remote
 ga united states
 python  cloud  ml  ai  
jobsearch ml",0.5423
1284679351460433920,2020-07-19 02:40:00+00:00,"Udemy Free Discount - Scala and Spark for Big Data and Machine Learning #udemycoupon -&gt; https://t.co/ICk0cKpRVh

#DataScience #MachineLearning #Python #DataAnalysis #DeepLearning #SQL #ArtificialIntelligence #Microsoft #PowerBI #Tableau #BigData #hadoop #100DaysOfCode",artificialintelligence,dataanalysis,"udemy free discount  scala and spark for big data and machine learning udemycoupon gt 

datascience machinelearning python dataanalysis deeplearning sql artificialintelligence microsoft powerbi tableau bigdata hadoop daysofcode",0.743
1643302287018967040,2023-04-04 17:19:30+00:00,"The rampant corruption in India can only be tackled through a data-driven approach. Let's use machine learning and AI to detect patterns of corruption and hold the guilty accountable.#CorruptionInIndia, #DataScience, #Transparency, #Accountability, #MachineLearning, #AI, #Ethics",AI,datascience,the rampant corruption in india can only be tackled through a datadriven approach lets use machine learning and ai to detect patterns of corruption and hold the guilty accountablecorruptioninindia datascience transparency accountability machinelearning ai ethics,-0.4215
